term,tfidf_score
raised,0.002487091018217674
taking,0.0024841304586308006
soon,0.0024572023166669096
told,0.0024154330240842617
talking,0.002408645907508716
wait,0.0024055889988579436
platform,0.002402973024352552
service bad,0.0023965660373454017
sir,0.002389028020289244
instead,0.002385361820195543
dont,0.0023743923475976663
shopzilla customer,0.0023706967826151787
sarvice,0.0023496374460968573
use,0.0023252372909130683
going,0.002316563030428068
facing,0.0023119321108218036
case,0.0023060540551772895
knowledge,0.0022986186273782514
installation,0.002289225321410002
wrong information,0.002245265388394808
update,0.0022403772539295397
poor quality,0.002238241319805265
logistics,0.0022344587194846194
slove,0.0022343152757857434
providing,0.0022338170752690305
cheating,0.002224665500957841
avoid,0.002217313753901384
saying,0.0022145109883601236
resolve issue,0.0022065996402490526
return request,0.0021977610583662913
mera,0.002194728037270809
unprofessional,0.002191239611416677
partner,0.0021837725389883276
making,0.0021610476274917037
long,0.0021295972604374676
properly,0.0021292194113918285
senior,0.002120689302105356
consumer,0.0021139006989114232
product delivery,0.00210827037642871
bad shopzilla,0.002098640266767376
address,0.0020968524972814623
u2019t,0.002090124467131267
grocery,0.002089107895428761
hold,0.002052935359722572
online,0.0020471923133471384
doesn,0.002046247452696506
costumer,0.0020306071914986705
showing,0.0020302662797343305
open,0.0020296500638750156
ka,0.002024428252218775
thing,0.0020179992942683488
15,0.0019975168295375788
called,0.0019746875611886187
quickly,0.001970709343513931
disgusting,0.0019698474923896332
used,0.001968398567153699
site,0.001956395088835052
ur,0.0019354019245023354
disconnect,0.0019308370975950654
return product,0.001924064165137521
returned,0.00191207540107696
soon possible,0.0019071863313287762
horrible,0.001904085452346898
agents,0.0019026490701943486
bad customer,0.0019021754134102488
solve problems,0.0019018108864216304
solved problem,0.0018991845592488204
scam,0.0018887099136745788
kindly,0.001883409614357023
support team,0.0018727998436748488
poor delivery,0.0018689339501987339
unable,0.0018679684941196614
non,0.0018302195121230273
wasting,0.0018285537569892529
happy shopzilla,0.0018213247983471662
plus,0.0018169734515580656
website,0.0018093471441575533
10 days,0.0018050614451145853
calls,0.0018019577761221744
poor customer,0.001799576972997791
place,0.001795346578389132
raise,0.001790695352376024
meri,0.0017807289295854057
answer,0.0017740773149440658
reach,0.0017729326115054045
new,0.0017719070689617906
bhi,0.0017665971101532172
tell,0.0017634711284787228
aug,0.0017623503498625144
cheat,0.001760853831112518
email,0.0017595872965436785
mistake,0.001756919134996
hi,0.0017531548833374531
lot,0.001753015556226187
disappointed shopzilla,0.0017460454901870595
seen,0.0017431542545779735
trying,0.00174089896075708
think,0.0017379233305098798
selling,0.0017262330082964935
coustomer,0.0017236393109264993
loss,0.001721213130936904
complete,0.001720460034133657
completely,0.001709290172118015
bed,0.0017083793502981465
complaints,0.0017018776923296128
months,0.0017017531092859018
staff,0.0017013421100799916
behavior,0.001700299522461532
future,0.0016975621086456815
calling,0.0016960800956213314
